,Institution Names,City,State,Score,Rank
0,indian institute of science bangalore,Bengaluru,Karnataka,83.28,1.0
1,indian institute of technology madras,Chennai,Tamil Nadu,73.97,2.0
2,indian institute of technology bombay,Mumbai,Maharashtra,71.78,3.0
3,indian institute of technology kharagpur,Kharagpur,West Bengal,68.43,4.0
4,indian institute of technology delhi,New Delhi,Delhi,64.18,5.0
5,jawaharlal nehru university,New Delhi,Delhi,61.53,6.0
6,indian institute of technology kanpur,Kanpur,Uttar Pradesh,60.69,7.0
7,indian institute of technology guwahati,Guwahati,Assam,60.37,8.0
8,indian institute of technology roorkee,Roorkee,Uttarakhand,59.84,9.0
9,banaras hindu university,Varanasi,Uttar Pradesh,58.92,10.0
10,jawaharlal nehru centre for advanced scientific research,Bengaluru,Karnataka,58.25,11.0
11,jadavpur university,Kolkata,West Bengal,57.32,12.0
12,anna university,Chennai,Tamil Nadu,56.5,13.0
13,university of hyderabad,Hyderabad,Telangana,56.3,14.0
14,university of delhi,Delhi,Delhi,55.37,15.0
15,amrita vishwa vidyapeetham,Coimbatore,Tamil Nadu,54.7,16.0
16,indian institute of management ahmedabad,Ahmedabad,Gujarat,54.27,17.0
17,savitribai phule pune university,Pune,Maharashtra,52.81,18.0
18,aligarh muslim university,Aligarh,Uttar Pradesh,52.74,19.0
19,jamia millia islamia,New Delhi,Delhi,51.75,20.0
20,birla institute of technology & science -pilani,Pilani,Rajasthan,51.46,21.0
21,vellore institute of technology,Vellore,Tamil Nadu,51.36,22.0
22,indian agricultural research institute,New Delhi,Delhi,51.2,23.0
23,indian institute of technology indore,Indore,Madhya Pradesh,50.23,24.0
24,indian institute of management bangalore,Bengaluru,Karnataka,49.26,25.0
25,indian institute of technology hyderabad,Hyderabad,Telangana,49.07,26.0
26,calcutta university,Kolkata,West Bengal,48.9,27.0
27,tamil nadu agricultural university,Coimbatore,Tamil Nadu,48.84,28.0
28,"indian institute of science education & research, pune",Pune,Maharashtra,48.28,29.0
29,manipal academy of higher education-manipal,Manipal,Karnataka,48.27,30.0
30,visva bharati,Kolkata,West Bengal,48.19,31.0
31,indian institute of technology ropar,Rupnagar,Punjab,47.84,32.0
32,siksha`o` anusandhan university,Bhubaneswar,Odisha,46.72,33.0
33,national institute of technology tiruchirappalli,Tiruchirappalli,Tamil Nadu,46.57,34.0
34,homi bhabha national institute,Mumbai,Maharashtra,46.45,35.0
35,bharath institute of higher education & research,Chennai,Tamil Nadu,46.45,35.0
36,indian institute of technology mandi,Mandi,Himachal Pradesh,45.62,37.0
37,osmania university,Hyderabad,Telangana,45.52,38.0
38,indian institute of management calcutta,Kolkata,West Bengal,45.17,39.0
39,"punjab agricultural university, ludhiana",Ludhiana,Punjab,44.99,40.0
40,institute of chemical technology,Mumbai,Maharashtra,44.95,41.0
41,jamia hamdard,New Delhi,Delhi,44.84,42.0
42,gauhati university,Guwahati,Assam,44.42,43.0
43,"indian institute of science education & research, kolkata",Mohanpur,West Bengal,44.38,44.0
44,bharathiar university,Coimbatore,Tamil Nadu,44.29,45.0
45,national institute of technology rourkela,Rourkela,Odisha,44.02,46.0
46,kerala university,Thiruvananthapuram,Kerala,43.95,47.0
47,tezpur university,Tezpur,Assam,43.78,48.0
48,tata institute of social sciences,Mumbai,Maharashtra,43.71,49.0
49,shanmugha arts science technology & research academy,Thanjavur,Tamil Nadu,43.5,50.0
50,indian institute of management lucknow,Lucknow,Uttar Pradesh,43.35,51.0
51,"indian institute of science education & research, mohali",Mohali,Punjab,43.27,52.0
52,indian institute of technology,Dhanbad,Jharkhand,43.21,53.0
53,panjab university,Chandigarh,Chandigarh,43.13,54.0
54,s.r.m institute of science and technology,Chennai,Tamil Nadu,43.07,55.0
55,indian institute of space science and technology,Thiruvananthapuram,Kerala,43.06,56.0
56,mysore university,Mysore,Karnataka,42.83,57.0
57,"national institute of pharmaceutical education and research, hyderabad",Hyderabad,Telangana,42.74,58.0
58,pondicherry university,Puducherry,Pondicherry,42.7,59.0
59,tamil nadu veterinary & animal sciences university,Chennai,Tamil Nadu,42.48,60.0
60,sri ramachandra university,Chennai,Tamil Nadu,42.46,61.0
61,anand agricultural university,Anand,Gujarat,42.26,62.0
62,indian institute of management udaipur,Udaipur,Rajasthan,42.15,63.0
63,university of madras,Chennai,Tamil Nadu,41.85,64.0
64,national institute of technology surathkal,Surathkal,Karnataka,41.8,65.0
65,indian institute of technology bhubaneswar,Bhubaneswar,Odisha,41.75,66.0
66,indian institute of management tiruchirappalli,Tiruchirappalli,Tamil Nadu,41.73,67.0
67,sri venkateswara university,Tirupati,Andhra Pradesh,41.48,68.0
68,andhra university,Visakhapatnam,Andhra Pradesh,41.38,69.0
69,"indian institute of technology, varanasi",Varanasi,Uttar Pradesh,41.37,70.0
70,indian institute of management kashipur,Kashipur,Uttarakhand,41.36,71.0
71,sathyabama institute of science and technology,Chennai,Tamil Nadu,41.3,72.0
72,"indian institute of engineering science and technology, shibpur",Howrah,West Bengal,41.28,73.0
73,jagadguru sri shivarathreeshwara university,Mysore,Karnataka,41.18,74.0
74,thapar university,Patiala,Punjab,40.78,75.0
75,dr. d. y. patil vidyapeeth pune,Pune,Maharashtra,40.59,76.0
76,north eastern hill university,Shillong,Meghalaya,40.51,77.0
77,indian institute of technology gandhinagar,Ahmedabad,Gujarat,40.48,78.0
78,kalinga institute of industrial technology,Bhubaneswar,Odisha,40.47,79.0
79,sri sivasubrmaniya nadar college of engineering,Kalavakkam,Tamil Nadu,40.31,80.0
80,guru angad dev veterinary & animal sciences university,Ludhiana,Punjab,40.1,81.0
81,national institute of technology warangal,Warangal,Telangana,40.05,82.0
82,indian institute of technology patna,Patna,Bihar,39.87,83.0
83,dr. y.s.parmar university of horticulture & forestry,Solan,Himachal Pradesh,39.54,84.0
84,indian institute of management kozhikode,Kozhikode,Kerala,39.2,85.0
85,amity university,Gautam Budh Nagar,Uttar Pradesh,39.17,86.0
86,indian institute of crop processing technology,Thanjavur,Tamil Nadu,39.15,87.0
87,psg college of technology,Coimbatore,Tamil Nadu,39.07,88.0
88,banasthali vidyapith,Banasthali,Rajasthan,38.74,89.0
89,bharati vidyapeeth,Pune,Maharashtra,38.73,90.0
90,saveetha institute of medical and technical sciences,Chennai,Tamil Nadu,38.68,91.0
91,annamalai university,Annamalainagar,Tamil Nadu,38.59,92.0
92,calicut university,Calicut,Kerala,38.45,93.0
93,mizoram university,Aizwal,Mizoram,38.36,94.0
94,kurukshetra university,Kurushetra,Haryana,38.26,95.0
95,shiv nadar university,Chithera,Uttar Pradesh,37.95,96.0
96,symbiosis international university,Pune,Maharashtra,37.67,97.0
97,"indian institute of science education & research, bhopal",Bhopal,Madhya Pradesh,37.32,98.0
98,rajiv gandhi indian institute of management,Shillong,Meghalaya,37.28,99.0
99,kle academy of higher education and research,Belagavi,Karnataka,37.25,100.0
0,chakradhar degree college,,,,
1,bhagvan mahavir polytechnic,,,,
2,maharaja college of education,,,,
3,sri venkateswara & sri satyadev degree college,,,,
4,rajiv vidhyan & vanijya mahavidyalaya,,,,
5,m.l.r. naidu degree college,,,,
6,maeer mits mimer medical college,,,,
7,murshidabad medical college and hospital,,,,
8,hrd degree college,,,,
9,mg college,,,,
10,vikram bbm college,,,,
11,angel s college of education mamun,,,,
12,i.b. college,,,,
13,shri sant sawata mali gramin mahavidyalaya,,,,
14,anchalika m.v,,,,
15,geetanjali degree college for women,,,,
16,capital computer institute & it,,,,
17,s.d.women's college,,,,
18,s.p.v.m. degree college,,,,
19,anand institute of information science,,,,
20,marathwada medical and research institute,,,,
21,mar elias college,,,,
22,mit college of management,,,,
23,maharashtra shikshan vikas mandal sanchalit new education college,,,,
24,govt. nehru degree college,,,,
25,institute of hotel and restaurant management,,,,
26,govt. sant ramhwar gahira guru ji college,,,,
27,school of computer science,,,,
28,mahbub degree college,,,,
29,shanmukhananda fine arts and sangeetha sabha bachelor of fine arts,,,,
30,mahatma hans raj dav institute of nursing & hospital,,,,
31,mahamaya technical university,,,,
32,krishnagar b.ed. college,,,,
33,bharathidasan engineering college,,,,
34,st. alberts college,,,,
35,sri prasannanjaneya degree college,,,,
36,h.m.k.s. & m.g.s. memorial college of education,,,,
37,apex college of computers and management,,,,
38,r.b.s. college,,,,
39,sree sankara college,,,,
40,cnr arts & science college,,,,
41,vivek jyoti institute of education,,,,
42,jang bahadur singh dhanaur college,,,,
43,shepherd school of engineering & technology,,,,
44,bhagwan parshuram institute of technology,,,,
45,rattan college of education,,,,
46,parala maharaja engineering college,,,,
47,s.v.medical college,,,,
48,padmashri annasaheb jadhav bharatiya samaj unnati mandals bhiwandi nizampur nagarpalika arts science & commerce college,,,,
49,samaritan college of nursing,,,,
50,mantra school of business management,,,,
51,sri gokarnanatheshwara college of education,,,,
52,navyug college for education,,,,
53,kinnera college of nursing,,,,
54,moreshwar college of arts,,,,
55,gramin arts & science college,,,,
56,academy of management & information technology,,,,
57,shri veerashaiva samaji,,,,
58,k hanumantharaya nayak arts degree college,,,,
59,jamna prasad memorial college,,,,
60,jagpat singh singraur degree college,,,,
61,bhausaheb mulak ayurvedic college,,,,
62,st. marys colleges of b.pharmacy,,,,
63,dnyanyog shikshan sanstha jalna's college of physical education,,,,
64,kunvar singh mahavidyalaya,,,,
65,sardar patel kanya kelvni mandal b.ed.college- jamkandorana,,,,
66,nootan vinay mandir trust sancha bca coolege,,,,
67,sikkim manipal college of physiotherapy,,,,
68,maheswara engineering college,,,,
69,yadav b.ed. college-mangalpur,,,,
70,munshi raghunandan prasad sardar patel p.g. college,,,,
71,bholanath sanskrit college,,,,
72,indira priydarshini t.t. college,,,,
73,savitribai phule mahila shikshan prasarak mandal's gurukul college of education,,,,
74,nirmala sadan training college for special education,,,,
75,alphores degree college,,,,
76,sri bhagawan mahaver jain evening college,,,,
77,sant gramyanchal mahavidyalaya,,,,
78,mittaso college of education,,,,
79,m.s. law college,,,,
80,iift college of fashion,,,,
81,scad college of engineering and technology,,,,
82,s.b. institute of engineering & technology,,,,
83,govt. anand music college,,,,
84,shri guru gobind singh college,,,,
85,nirmala college of education,,,,
86,aadinath institute of information technology & management barwani,,,,
87,saikrapa institute of computer education,,,,
88,thiru kolanchiyappar govt.arts college,,,,
89,shree lakshmi narayan ayurvedic college,,,,
90,government polytechnic college,,,,
91,institute of physics,,,,
92,st. mary degree college,,,,
93,maa saraswati mahavidhyalaya,,,,
94,krr govt college,,,,
95,ch. mahkar singh college of education khara no. 333,,,,
96,st. peter s institute of pharmaceutical sciences,,,,
97,d.a.r. college,,,,
98,sampurna montfort b.ed. college,,,,
99,ramesh chandra saharia institute of paramedical courses,,,,
100,prakash institute of engineering & technology,,,,
101,presidency college of education for girls,,,,
102,visvesvaraya college of engineering technology,,,,
103,shyam t.t. college,,,,
104,dr. shadi lal college of education,,,,
105,sri ram college of education,,,,
106,nashik gramin shikshan prasarak mandals brahma valley college of engineering & research institute,,,,
107,dr.bhausaheb nandurkar college of engineering & technology,,,,
108,kala asram ayurved nursing training centre,,,,
109,bihar institute of journalism & mass communication,,,,
110,aravali teachers training college bhuwana bypass,,,,
111,recognized institutions under southern naval command head quarters,,,,
112,ch. s.d. st. theresas college for women,,,,
113,jawaharlal nehru krishi vishwavidyalaya,,,,
114,saint zaviour mahavi.,,,,
115,seth virendra kumar college,,,,
116,r.b.s college madora maharan,,,,
117,east point college of engg.,,,,
118,akal sahae college of education kotkapura,,,,
119,chanakya education societys indira college of commerce & science,,,,
120,safi institute,,,,
121,shree dwarkadhish institute of management and science,,,,
122,national institute of nutrition,,,,
123,l.e.college,,,,
124,holy cross college of education,,,,
125,ugra tara bharati mandan sanskrit college,,,,
126,lingaraj law college,,,,
127,ellenki college of engineering for women,,,,
128,p.n.c & k.r. college,,,,
129,swami keshwanand college of nursing,,,,
130,chillakuru anil kumar memorial college of education,,,,
131,panna mahavidyalaya,,,,
132,d b pampa college,,,,
133,pragathi degree college for women,,,,
134,christian college of management studies,,,,
135,pms college of dental science and research,,,,
136,lakshmi ammal college of education for women,,,,
137,punjabi university,,,,
138,llyod institute of management and technology,,,,
139,bhartiya vidya mandir college,,,,
140,rattan institute of technology & management,,,,
141,pushpak college,,,,
142,naina mohamed college of arts & science,,,,
143,singhbhum homoeopathic medical college & hospital,,,,
144,lincoln college of law,,,,
145,prof. h.n. mishra college of education,,,,
146,shri dattakripa shaikshnik va krishi gram vikas pratishthans saikrupa institute of management science,,,,
147,narayanrao patil vasade physical education college,,,,
148,moirabari college,,,,
149,kashi ram memorial college,,,,
150,satguru shikshan sansthan mahila mahavi.,,,,
151,chintamani sanskrit college,,,,
152,krishna college of science & information technology,,,,
153,gayatri college,,,,
154,birla institute of management technology plot no.t,,,,
155,sri dhannarayan ramnarayan dani mahila mahavidyalaya,,,,
156,navpratibha mahavidyalaya,,,,
157,sri radha rani mahavidyalaya julahpur sikandra road mahamaya nagar,,,,
158,s.k.roy memorial ins.of education,,,,
159,shri radha swami college,,,,
160,g.karunakaran memorial co-operative college of management,,,,
161,ahalia school of engineering & technology,,,,
162,pt. chandrika smarak purvanchal mahavidyalaya,,,,
163,shivalik institute of education & research,,,,
164,cmh college of education,,,,
165,rinpas,,,,
166,sri aditya engineering college,,,,
167,hitkarini college of engineering and technology,,,,
168,j.n.college,,,,
